age_group_id,age_group
34,2 to 4 yrs
36,"2 to 19 yrs, age-standardized"
6,5 to 9 yrs
7,10 to 14 yrs
8,15 to 19 yrs
9,20 to 24 yrs
38,"20+ yrs, age-standardized"
10,25 to 29 yrs
11,30 to 34 yrs
12,35 to 39 yrs
13,40 to 44 yrs
14,45 to 49 yrs
15,50 to 54 yrs
16,55 to 59 yrs
17,60 to 64 yrs
18,65 to 69 yrs
19,70 to 74 yrs
20,75 to 79 yrs
21,80+ yrs
